description,id,name
Available only 4 pm to 7 pm. (Prices inclusive of packaging charges. Carry bag @ Rs.3/- Extra),mf237,Chai Shai at 4
,mf381,Dil Bole Dilli Promotion
,mf390,Pickles
Suji Halwa Available Only On Sunday,mf416,Weekend Indulgence
,mf433,Parantha Combos
(Prices inclusive of packaging charges. Carry bag @ Rs.3/- Extra),mf514,Starters
Full on taste and light on waist. Choose from 3 options geared to your hunger levels. (Prices inclusive of packaging charges. Carry bag @ Rs.3/- Extra),mf589,Halka Phulka
(Prices inclusive of packaging charges. Carry bag @ Rs.3/- Extra),mf613,Family Curry Packs
(Prices inclusive of packaging charges. Carry bag @ Rs.3/- Extra),mf628,Mast Curry Combos
"Served with Raita, Salad & Papad. (Prices inclusive of packaging charges. Carry bag @ Rs.3/- Extra)",mf720,Dum A Dum Rice Combos
(Prices inclusive of packaging charges. Carry bag @ Rs.3/- Extra),mf764,Desserts
(Prices inclusive of packaging charges. Carry bag @ Rs.3/- Extra),mf779,Drinks
,mf824,Extra
(Prices inclusive of packaging charges. Carry bag @ Rs.3/- Extra),mf918,Promotion's
